Year,WYT,Drought,CRR,Run
1974,BN,N,1.005821156,Fall-run
1975,AN,N,1.04317381,Fall-run
1976,W,W,0.817745284,Fall-run
1977,W,W,0.791676032,Fall-run
1978,C,D,0.777222751,Fall-run
1979,C,D,1.192230907,Fall-run
1980,AN,N,0.912361473,Fall-run
1981,BN,N,1.529653085,Fall-run
1982,AN,N,1.087438736,Fall-run
1983,D,N,1.04800805,Fall-run
1984,W,W,1.114443189,Fall-run
1985,W,W,1.503825659,Fall-run
1986,W,W,1.301115883,Fall-run
1987,D,N,1.1444942,Fall-run
1988,W,W,0.817479983,Fall-run
1989,D,D,0.594698292,Fall-run
1990,C,D,0.30594403,Fall-run
1991,D,D,0.528269592,Fall-run
1992,C,D,0.594541865,Fall-run
1993,C,D,1.47894526,Fall-run
1994,C,D,1.765845128,Fall-run
1995,AN,N,2.550057254,Fall-run
1996,C,N,2.011505285,Fall-run
1997,W,W,1.73765232,Fall-run
1998,W,W,0.774095365,Fall-run
1999,W,W,1.209151277,Fall-run
2000,W,W,1.278166926,Fall-run
2001,W,W,1.998675871,Fall-run
2002,AN,N,2.140698514,Fall-run
2003,D,D,1.137736867,Fall-run
2004,D,D,0.626447701,Fall-run
2005,AN,N,0.578601609,Fall-run
2006,BN,N,0.478416625,Fall-run
2007,AN,N,0.230386431,Fall-run
2008,W,W,0.185480391,Fall-run
2009,D,D,0.187811965,Fall-run
2010,C,D,1.274168475,Fall-run
2011,D,D,2.742918698,Fall-run
2012,BN,D,4.148506298,Fall-run
2013,W,W,2.731363206,Fall-run
2014,BN,D,1.042739908,Fall-run
2015,D,D,0.48247671,Fall-run
2016,C,D,0.347206614,Fall-run
2017,C,D,0.374740089,Fall-run
2018,BN,D,1.034374851,Fall-run
2019,W,W,1.540691385,Fall-run
2020,BN,N,1.266209805,Fall-run
2021,W,W,0.813338796,Fall-run
1974,BN,N,1.028837706,Spring-run
1975,AN,N,2.630141998,Spring-run
1976,W,W,2.28174117,Spring-run
1977,W,W,1.16573597,Spring-run
1978,C,D,0.395998881,Spring-run
1979,C,D,0.130869493,Spring-run
1980,AN,N,0.878266635,Spring-run
1981,BN,N,2.512737036,Spring-run
1982,AN,N,5.351415708,Spring-run
1983,D,N,0.669965984,Spring-run
1984,W,W,0.483121937,Spring-run
1985,W,W,0.611098252,Spring-run
1986,W,W,2.202349424,Spring-run
1987,D,N,1.361382438,Spring-run
1988,W,W,1.303527021,Spring-run
1989,D,D,0.532936767,Spring-run
1990,C,D,0.483028918,Spring-run
1991,D,D,0.347054662,Spring-run
1992,C,D,0.239496365,Spring-run
1993,C,D,0.751984851,Spring-run
1994,C,D,1.023915637,Spring-run
1995,AN,N,4.029751083,Spring-run
1996,C,N,1.535046395,Spring-run
1997,W,W,0.781622171,Spring-run
1998,W,W,2.469115576,Spring-run
1999,W,W,0.928399274,Spring-run
2000,W,W,1.281449685,Spring-run
2001,W,W,1.072653001,Spring-run
2002,AN,N,1.742831602,Spring-run
2003,D,D,2.844450787,Spring-run
2004,D,D,0.728430494,Spring-run
2005,AN,N,0.924932957,Spring-run
2006,BN,N,0.453206977,Spring-run
2007,AN,N,0.575680941,Spring-run
2008,W,W,0.641888717,Spring-run
2009,D,D,0.30765856,Spring-run
2010,C,D,0.415482915,Spring-run
2011,D,D,0.643965289,Spring-run
2012,BN,D,3.688841772,Spring-run
2013,W,W,4.33606014,Spring-run
2014,BN,D,1.159849474,Spring-run
2015,D,D,0.260017371,Spring-run
2016,C,D,0.371974534,Spring-run
2017,C,D,0.134012465,Spring-run
2018,BN,D,0.852047167,Spring-run
2019,W,W,2.832740736,Spring-run
2020,BN,N,0.883956811,Spring-run
2021,W,W,5.482509102,Spring-run
1974,BN,N,0.431632128,Winter-run
1975,AN,N,0.649198795,Winter-run
1976,W,W,1.462320843,Winter-run
1977,W,W,0.774105118,Winter-run
1978,C,D,1.06448979,Winter-run
1979,C,D,0.070508947,Winter-run
1980,AN,N,0.06741535,Winter-run
1981,BN,N,0.997974021,Winter-run
1982,AN,N,0.369889654,Winter-run
1983,D,N,0.948503168,Winter-run
1984,W,W,0.12896296,Winter-run
1985,W,W,3.061496039,Winter-run
1986,W,W,1.32721872,Winter-run
1987,D,N,0.805255351,Winter-run
1988,W,W,0.565767526,Winter-run
1989,D,D,0.265472042,Winter-run
1990,C,D,0.200605549,Winter-run
1991,D,D,0.07892837,Winter-run
1992,C,D,1.755391813,Winter-run
1993,C,D,0.856753855,Winter-run
1994,C,D,0.728141087,Winter-run
1995,AN,N,1.137444915,Winter-run
1996,C,N,3.145845343,Winter-run
1997,W,W,3.291811619,Winter-run
1998,W,W,2.396255051,Winter-run
1999,W,W,2.409214807,Winter-run
2000,W,W,1.301827566,Winter-run
2001,W,W,2.862712336,Winter-run
2002,AN,N,2.218412736,Winter-run
2003,D,D,4.488662277,Winter-run
2004,D,D,0.986497558,Winter-run
2005,AN,N,2.133363863,Winter-run
2006,BN,N,2.065243349,Winter-run
2007,AN,N,0.30227743,Winter-run
2008,W,W,0.187333167,Winter-run
2009,D,D,0.282306852,Winter-run
2010,C,D,0.55212209,Winter-run
2011,D,D,0.294047058,Winter-run
2012,BN,D,0.632233493,Winter-run
2013,W,W,3.689446341,Winter-run
2014,BN,D,2.784666325,Winter-run
2015,D,D,1.255944286,Winter-run
2016,C,D,0.269075667,Winter-run
2017,C,D,0.325267,Winter-run
2018,BN,D,0.813306295,Winter-run
2019,W,W,5.113461212,Winter-run
2020,BN,N,5.762941987,Winter-run
2021,W,W,3.570432167,Winter-run
