"Water Year","Date of Peak Catch","Pulse Period Catch","Annual Catch","Sac Water Year Type","Catch Proportion during Pulse Period"
2003,2003-04-11,354,996,"AN",0.355421686746988
2004,2004-04-21,155,331,"BN",0.468277945619335
2005,2005-04-22,342,544,"BN",0.628676470588235
2006,2006-05-01,152,559,"W",0.271914132379249
2007,2007-04-17,69,168,"D",0.410714285714286
2008,2008-04-14,21,67,"C",0.313432835820896
2009,2009-04-15,138,224,"D",0.616071428571429
2010,2010-04-16,93,169,"BN",0.550295857988166
2011,2011-04-20,218,350,"W",0.622857142857143
2012,2012-03-30,103,258,"BN",0.39922480620155
2013,2013-04-17,283,411,"D",0.688564476885645
2014,2014-04-11,345,753,"C",0.458167330677291
2015,2015-04-17,20,67,"C",0.298507462686567
2016,2016-04-13,108,206,"BN",0.524271844660194
2017,2017-04-09,1050,2743,"W",0.38279256288735
2018,2018-04-11,66,148,"BN",0.445945945945946
2019,2019-04-23,120,489,"W",0.245398773006135
2020,2020-04-06,536,677,"D",0.791728212703102
2021,2021-04-11,26,91,"C",0.285714285714286
