Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/16) %
2021 YTD,04/08/2022,,,,,,,,06/10/2022,,,,1182 (YTD),
Average (1997 - 2020),02/24,04/20,04/24,04/29,05/07,05/16,05/25,05/30,10/01,32.6,17.5,40.9,7003.9,100.0%
Median (1997 - 2020),03/10,04/22,04/26,04/30,05/07,05/16,05/26,05/30,10/07,31.5,18.0,39.5,3017.5,100.0%
2020,04/08/2021,04/22/2021,04/26/2021,05/03/2021,05/10/2021,05/11/2021,05/18/2021,05/18/2021,11/01/2021,23,9,27,1000,100.0%
2019,12/16/2019,04/23/2020,04/28/2020,05/07/2020,05/12/2020,05/14/2020,05/20/2020,05/28/2020,06/19/2020,23,8,36,922,100.0%
2018,03/03/2019,04/22/2019,04/26/2019,05/06/2019,05/10/2019,05/20/2019,05/24/2019,05/31/2019,07/24/2019,29,15,40,3685,100.0%
2017,04/03/2018,04/17/2018,04/19/2018,04/24/2018,05/01/2018,05/13/2018,05/19/2018,05/30/2018,10/01/2018,31,20,44,1269,100.0%
2016,12/19/2016,04/13/2017,04/16/2017,05/05/2017,05/16/2017,05/30/2017,06/01/2017,06/04/2017,07/06/2017,47,26,53,5952,100.0%
2015,01/29/2016,04/18/2016,04/18/2016,04/22/2016,04/29/2016,05/16/2016,06/01/2016,06/06/2016,08/19/2016,45,25,50,849,100.0%
2014,12/10/2014,04/06/2015,04/10/2015,04/17/2015,04/24/2015,05/04/2015,05/11/2015,05/14/2015,11/25/2015,32,18,39,371,99.7%
2013,03/10/2014,04/02/2014,04/07/2014,04/16/2014,04/30/2014,05/08/2014,05/19/2014,05/22/2014,10/10/2014,43,23,51,898,100.0%
2012,12/14/2012,04/24/2013,04/26/2013,05/03/2013,05/15/2013,05/20/2013,05/31/2013,05/31/2013,08/09/2013,36,18,38,1633,100.0%
2011,03/27/2012,04/23/2012,04/27/2012,04/30/2012,05/11/2012,05/18/2012,06/01/2012,06/04/2012,09/04/2012,36,19,43,1207,100.0%
2010,03/28/2011,04/25/2011,04/29/2011,05/06/2011,05/11/2011,05/27/2011,06/10/2011,06/17/2011,10/17/2011,43,22,54,3582,100.0%
2009,03/29/2010,04/19/2010,04/21/2010,04/23/2010,05/03/2010,05/14/2010,06/01/2010,06/04/2010,10/04/2010,42,22,47,2433,100.0%
2008,04/08/2009,04/22/2009,04/22/2009,04/24/2009,05/06/2009,05/11/2009,05/15/2009,05/27/2009,11/02/2009,24,18,36,1574,100.0%
2007,04/21/2008,04/28/2008,05/05/2008,05/05/2008,05/12/2008,05/22/2008,06/11/2008,06/18/2008,11/13/2008,38,18,52,426,100.0%
2006,04/11/2007,04/19/2007,04/23/2007,04/26/2007,05/01/2007,05/06/2007,05/10/2007,05/14/2007,10/04/2007,18,11,26,2453,100.0%
2005,03/10/2006,05/05/2006,05/06/2006,05/09/2006,05/14/2006,05/26/2006,06/06/2006,06/11/2006,10/18/2006,32,18,38,19941,100.0%
2004,03/28/2005,04/25/2005,04/26/2005,05/09/2005,05/16/2005,05/27/2005,06/04/2005,06/09/2005,09/21/2005,40,19,46,19045,100.0%
2003,03/03/2004,04/25/2004,04/26/2004,04/28/2004,05/03/2004,05/08/2004,05/15/2004,05/24/2004,10/29/2004,20,11,30,12342,100.0%
2002,03/21/2003,04/25/2003,04/26/2003,04/29/2003,05/04/2003,05/16/2003,05/25/2003,05/28/2003,09/15/2003,30,18,34,16434,100.0%
2001,04/04/2002,04/25/2002,04/28/2002,04/30/2002,05/06/2002,05/16/2002,05/27/2002,05/30/2002,11/22/2002,30,17,36,8072,100.0%
2000,02/28/2001,04/24/2001,04/27/2001,05/05/2001,05/10/2001,05/11/2001,05/17/2001,05/24/2001,10/03/2001,21,7,31,9795,100.0%
1999,01/13/2000,04/16/2000,04/19/2000,04/22/2000,04/29/2000,05/09/2000,05/19/2000,05/23/2000,11/24/2000,31,18,38,14337,100.0%
1998,01/24/1999,04/18/1999,04/27/1999,05/01/1999,05/07/1999,05/18/1999,05/27/1999,06/03/1999,11/15/1999,31,18,47,12512,100.0%
1997,12/11/1997,04/19/1998,04/23/1998,04/30/1998,05/07/1998,05/21/1998,05/29/1998,06/03/1998,10/14/1998,37,22,46,27362,100.0%
