Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/16) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (1997 - 2021),03/11,04/05,04/09,04/15,04/21,04/27,05/05,05/09,06/11,26.9,13.1,35.0,1624.8,0.0%
Median (1997 - 2021),03/13,04/07,04/12,04/16,04/22,04/27,05/06,05/09,05/31,26.0,13.0,33.0,1203.0,0.0%
2021,03/29/2022,04/08/2022,04/15/2022,04/22/2022,04/25/2022,05/06/2022,05/06/2022,05/09/2022,05/18/2022,22,15,32,684,0.0%
2020,03/30/2021,04/09/2021,04/18/2021,04/19/2021,04/22/2021,04/27/2021,05/04/2021,05/10/2021,05/18/2021,17,9,32,1203,0.0%
2019,03/23/2020,04/06/2020,04/06/2020,04/09/2020,04/16/2020,04/24/2020,05/01/2020,05/08/2020,05/15/2020,26,16,33,1913,0.0%
2018,03/04/2019,04/05/2019,04/08/2019,04/11/2019,04/21/2019,04/26/2019,05/09/2019,05/10/2019,05/24/2019,32,16,36,1804,0.0%
2017,03/27/2018,04/10/2018,04/12/2018,04/15/2018,04/19/2018,04/23/2018,04/27/2018,04/29/2018,05/27/2018,16,9,20,1218,0.0%
2016,02/22/2017,04/03/2017,04/05/2017,04/11/2017,04/18/2017,05/03/2017,05/08/2017,05/15/2017,07/14/2017,34,23,43,3882,0.0%
2015,03/16/2016,04/04/2016,04/06/2016,04/08/2016,04/15/2016,04/20/2016,04/29/2016,05/02/2016,05/31/2016,24,13,29,681,0.0%
2014,02/17/2015,03/30/2015,04/01/2015,04/06/2015,04/10/2015,04/20/2015,04/24/2015,04/27/2015,05/11/2015,24,15,29,1108,0.0%
2013,03/07/2014,03/28/2014,03/31/2014,04/04/2014,04/09/2014,04/21/2014,05/05/2014,05/08/2014,05/22/2014,36,18,42,1311,0.0%
2012,03/29/2013,04/08/2013,04/12/2013,04/22/2013,04/26/2013,05/03/2013,05/15/2013,05/17/2013,05/31/2013,34,12,40,601,0.0%
2011,03/23/2012,04/06/2012,04/13/2012,04/23/2012,04/27/2012,04/30/2012,05/11/2012,05/14/2012,05/18/2012,29,8,39,761,0.0%
2010,02/18/2011,04/13/2011,04/18/2011,04/20/2011,04/22/2011,04/29/2011,05/06/2011,05/11/2011,06/06/2011,19,10,29,593,0.0%
2009,03/29/2010,04/09/2010,04/16/2010,04/19/2010,04/21/2010,04/28/2010,05/14/2010,05/14/2010,08/16/2010,29,10,36,758,0.0%
2008,03/25/2009,04/08/2009,04/09/2009,04/15/2009,04/22/2009,04/29/2009,05/09/2009,05/09/2009,05/18/2009,31,15,32,429,0.0%
2007,04/03/2008,04/07/2008,04/14/2008,04/21/2008,04/24/2008,05/01/2008,05/05/2008,05/08/2008,05/30/2008,22,11,32,163,0.0%
2006,03/24/2007,04/09/2007,04/13/2007,04/18/2007,04/24/2007,04/27/2007,04/30/2007,05/01/2007,05/20/2007,18,10,23,788,0.0%
2005,03/03/2006,04/07/2006,04/17/2006,04/24/2006,05/01/2006,05/06/2006,05/10/2006,05/11/2006,06/05/2006,24,13,35,2085,0.0%
2004,03/09/2005,03/31/2005,04/06/2005,04/16/2005,04/24/2005,04/27/2005,05/08/2005,05/13/2005,06/05/2005,33,12,44,1880,0.0%
2003,02/27/2004,03/24/2004,03/26/2004,04/12/2004,04/25/2004,04/28/2004,05/02/2004,05/04/2004,06/09/2004,38,17,42,889,0.0%
2002,03/07/2003,04/02/2003,04/14/2003,04/23/2003,04/24/2003,04/26/2003,04/30/2003,05/03/2003,09/26/2003,17,4,32,3948,0.0%
2001,03/13/2002,04/06/2002,04/08/2002,04/11/2002,04/19/2002,04/25/2002,05/01/2002,05/05/2002,09/25/2002,24,15,30,1229,0.0%
2000,03/16/2001,04/09/2001,04/13/2001,04/18/2001,04/22/2001,04/27/2001,05/06/2001,05/09/2001,05/20/2001,24,10,31,527,0.0%
1999,02/26/2000,03/30/2000,04/01/2000,04/06/2000,04/17/2000,04/21/2000,04/29/2000,05/08/2000,06/06/2000,29,16,40,3891,0.0%
1998,01/26/1999,04/01/1999,04/04/1999,04/10/1999,04/17/1999,04/24/1999,05/07/1999,05/11/1999,06/09/1999,34,15,41,1657,0.0%
1997,03/06/1998,04/01/1998,04/13/1998,04/18/1998,04/24/1998,05/02/1998,05/18/1998,05/23/1998,06/17/1998,36,15,53,6618,0.0%
