Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/16) %
2022 YTD,01/10/2022,,,,,,,,08/03/2022,,,,26 (YTD),
Average (1997 - 2021),02/09,02/14,02/23,03/14,04/06,04/25,05/31,06/20,07/07,98.7,44.0,127.6,29.0,98.6%
Median (1997 - 2021),02/06,02/13,02/18,03/09,04/15,05/04,05/19,05/27,06/09,94.0,41.0,115.0,14.0,100.0%
2021,02/16/2021,02/16/2021,02/16/2021,02/19/2021,04/07/2021,05/02/2021,11/17/2021,11/17/2021,11/17/2021,275,73,275,8,87.5%
2020,02/03/2020,02/03/2020,02/03/2020,02/27/2020,04/12/2020,05/08/2020,05/22/2020,05/22/2020,05/22/2020,110,72,110,9,100.0%
2019,01/20/2019,01/20/2019,01/29/2019,03/24/2019,04/08/2019,04/15/2019,05/10/2019,05/14/2019,05/14/2019,102,23,115,13,100.0%
2018,01/17/2018,01/17/2018,03/03/2018,03/03/2018,03/06/2018,04/07/2018,05/02/2018,05/14/2018,05/14/2018,61,36,118,12,100.0%
2017,02/14/2017,02/14/2017,02/25/2017,02/27/2017,03/12/2017,04/12/2017,05/12/2017,05/27/2017,05/27/2017,77,45,103,15,100.0%
2016,02/18/2016,02/18/2016,02/18/2016,02/29/2016,03/16/2016,03/30/2016,12/30/2016,12/30/2016,12/30/2016,317,31,317,6,83.3%
2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,1,1,1,3,100.0%
2014,03/07/2014,03/07/2014,03/07/2014,03/17/2014,03/21/2014,04/18/2014,05/19/2014,05/22/2014,05/22/2014,74,33,77,14,100.0%
2013,02/06/2013,02/06/2013,02/06/2013,03/06/2013,04/15/2013,05/03/2013,05/10/2013,05/10/2013,05/10/2013,94,59,94,7,100.0%
2012,03/27/2012,03/27/2012,03/27/2012,03/27/2012,03/27/2012,04/06/2012,04/13/2012,04/13/2012,04/13/2012,18,11,18,6,100.0%
2011,01/19/2011,01/19/2011,01/19/2011,01/19/2011,02/16/2011,02/28/2011,05/13/2011,05/13/2011,05/13/2011,115,41,115,8,100.0%
2010,03/31/2010,03/31/2010,03/31/2010,03/31/2010,04/16/2010,05/05/2010,05/12/2010,05/12/2010,05/12/2010,43,36,43,5,100.0%
2009,02/04/2009,02/04/2009,02/13/2009,03/02/2009,04/17/2009,05/09/2009,05/27/2009,09/28/2009,09/28/2009,104,69,237,18,100.0%
2008,03/17/2008,03/17/2008,03/17/2008,03/24/2008,04/14/2008,04/21/2008,05/15/2008,05/15/2008,05/15/2008,60,29,60,7,100.0%
2007,02/13/2007,02/13/2007,02/13/2007,03/08/2007,03/08/2007,05/14/2007,05/15/2007,05/18/2007,05/18/2007,92,68,95,10,100.0%
2006,02/09/2006,02/13/2006,03/03/2006,04/10/2006,05/06/2006,05/22/2006,06/09/2006,06/14/2006,06/26/2006,99,43,122,22,100.0%
2005,02/07/2005,03/18/2005,03/28/2005,04/15/2005,05/11/2005,05/21/2005,05/29/2005,06/01/2005,06/19/2005,63,37,76,43,100.0%
2004,01/17/2004,01/27/2004,02/06/2004,03/08/2004,05/03/2004,05/11/2004,05/23/2004,06/01/2004,06/21/2004,108,65,127,41,100.0%
2003,01/29/2003,01/31/2003,03/19/2003,04/14/2003,05/01/2003,05/11/2003,05/29/2003,06/12/2003,06/20/2003,72,28,133,29,100.0%
2002,03/29/2002,04/04/2002,04/05/2002,04/11/2002,04/27/2002,05/04/2002,05/26/2002,05/30/2002,10/13/2002,52,24,57,40,100.0%
2001,01/17/2001,01/28/2001,01/30/2001,03/02/2001,04/24/2001,05/14/2001,05/28/2001,06/08/2001,08/14/2001,119,74,132,44,100.0%
2000,02/01/2000,02/19/2000,02/22/2000,03/29/2000,04/19/2000,05/04/2000,05/15/2000,05/26/2000,06/08/2000,84,37,98,57,100.0%
1999,01/02/1999,01/17/1999,02/02/1999,04/04/1999,05/01/1999,05/19/1999,06/07/1999,07/07/1999,07/09/1999,126,46,172,53,100.0%
1998,01/17/1998,01/27/1998,02/17/1998,03/18/1998,04/27/1998,05/18/1998,05/30/1998,09/04/1998,12/13/1998,103,62,221,70,95.7%
1997,01/13/1997,01/22/1997,02/06/1997,02/26/1997,03/12/1997,04/22/1997,05/15/1997,10/23/1997,11/17/1997,99,56,275,185,99.5%
