Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/16) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (1997 - 2021),01/05,01/25,02/08,03/04,03/22,04/02,04/12,04/16,04/30,63.4,29.5,81.7,112.4,0.6%
Median (1997 - 2021),01/06,02/04,02/21,03/09,03/24,04/02,04/11,04/17,04/29,59.0,27.0,71.0,98.0,14.3%
2021,11/01/2021,11/01/2021,11/01/2021,12/28/2021,03/17/2022,04/01/2022,04/05/2022,04/05/2022,04/05/2022,157,96,157,7,14.3%
2020,02/08/2021,02/24/2021,02/26/2021,03/09/2021,03/24/2021,03/29/2021,04/25/2021,04/25/2021,04/25/2021,59,21,61,38,0.0%
2019,12/20/2019,02/23/2020,02/24/2020,03/10/2020,03/27/2020,04/09/2020,04/10/2020,04/10/2020,04/13/2020,47,31,48,167,0.0%
2018,01/31/2019,02/17/2019,03/10/2019,03/28/2019,04/02/2019,04/09/2019,04/19/2019,04/21/2019,05/20/2019,41,13,64,98,0.0%
2017,01/20/2018,02/05/2018,02/06/2018,03/15/2018,03/25/2018,04/14/2018,04/15/2018,04/17/2018,04/21/2018,69,31,72,89,0.0%
2016,03/03/2017,03/16/2017,03/19/2017,03/28/2017,04/04/2017,04/09/2017,04/21/2017,04/27/2017,05/05/2017,34,13,43,304,0.0%
2015,01/22/2016,01/29/2016,03/25/2016,03/30/2016,04/04/2016,04/06/2016,04/08/2016,04/08/2016,04/27/2016,15,8,71,53,0.0%
2014,12/10/2014,12/10/2014,12/24/2014,02/11/2015,03/04/2015,03/27/2015,04/10/2015,04/15/2015,04/17/2015,109,45,128,35,0.0%
2013,02/14/2014,02/21/2014,02/28/2014,03/05/2014,03/10/2014,03/14/2014,04/04/2014,04/09/2014,04/11/2014,36,10,48,72,0.0%
2012,12/21/2012,01/02/2013,03/11/2013,03/20/2013,03/27/2013,04/05/2013,04/12/2013,04/12/2013,04/15/2013,33,17,101,65,0.0%
2011,01/24/2012,03/06/2012,03/09/2012,03/23/2012,04/10/2012,04/13/2012,04/27/2012,04/27/2012,04/27/2012,50,22,53,45,0.0%
2010,01/05/2011,02/28/2011,02/28/2011,03/16/2011,04/04/2011,04/15/2011,04/18/2011,04/20/2011,04/22/2011,50,31,52,64,0.0%
2009,01/25/2010,02/10/2010,02/18/2010,03/05/2010,03/15/2010,03/31/2010,04/19/2010,04/21/2010,04/28/2010,61,27,71,69,0.0%
2008,02/20/2009,02/23/2009,02/25/2009,03/02/2009,03/16/2009,03/27/2009,04/10/2009,04/17/2009,05/09/2009,45,26,54,73,0.0%
2007,01/09/2008,01/17/2008,01/19/2008,01/27/2008,03/17/2008,03/27/2008,04/03/2008,04/10/2008,04/28/2008,76,61,85,42,0.0%
2006,01/06/2007,02/17/2007,02/24/2007,03/06/2007,03/15/2007,03/20/2007,03/24/2007,04/09/2007,04/30/2007,29,15,52,115,0.0%
2005,12/15/2005,02/27/2006,03/03/2006,03/17/2006,04/03/2006,04/17/2006,04/21/2006,04/24/2006,05/12/2006,50,32,57,323,0.0%
2004,12/11/2004,01/08/2005,01/18/2005,02/28/2005,03/07/2005,03/31/2005,04/15/2005,04/22/2005,05/23/2005,88,32,105,124,0.0%
2003,12/21/2003,12/29/2003,01/14/2004,03/12/2004,03/22/2004,03/26/2004,03/31/2004,03/31/2004,04/25/2004,78,15,95,115,0.0%
2002,12/18/2002,12/22/2002,12/31/2002,01/24/2003,03/10/2003,03/24/2003,04/07/2003,04/21/2003,05/10/2003,99,60,122,244,0.0%
2001,12/03/2001,01/04/2002,01/16/2002,03/11/2002,03/29/2002,04/07/2002,04/11/2002,04/16/2002,05/21/2002,86,28,103,116,0.0%
2000,01/22/2001,02/04/2001,02/21/2001,03/02/2001,03/12/2001,03/21/2001,04/04/2001,04/13/2001,05/06/2001,43,20,69,110,0.0%
1999,01/24/2000,02/03/2000,02/08/2000,03/16/2000,03/29/2000,04/02/2000,04/10/2000,04/18/2000,05/20/2000,63,18,76,177,0.0%
1998,12/01/1998,12/14/1998,01/28/1999,03/03/1999,03/26/1999,04/02/1999,04/11/1999,04/17/1999,04/29/1999,74,31,126,156,0.0%
1997,12/04/1997,12/19/1997,01/18/1998,03/04/1998,03/18/1998,04/06/1998,04/21/1998,04/25/1998,05/02/1998,94,34,129,109,0.0%
