Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/16) %
2021 YTD,12/26/2021,,,,,,,,05/18/2022,,,,102 (YTD),
Average (1997 - 2020),12/26,01/20,01/27,02/15,03/24,04/21,05/02,05/12,07/26,96.2,65.8,112.6,4979.2,100.0%
Median (1997 - 2020),12/18,01/20,01/26,02/10,03/25,04/27,05/06,05/12,08/04,100.0,75.5,119.0,3714.0,100.0%
2020,01/31/2021,01/31/2021,01/31/2021,02/01/2021,02/07/2021,04/18/2021,04/22/2021,05/10/2021,05/28/2021,82,77,100,294,100.0%
2019,12/12/2019,01/30/2020,01/30/2020,01/30/2020,01/30/2020,04/14/2020,05/07/2020,05/07/2020,06/05/2020,99,76,99,1492,100.0%
2018,12/20/2018,01/13/2019,01/20/2019,02/05/2019,02/26/2019,03/12/2019,05/06/2019,05/17/2019,08/05/2019,107,36,125,3319,100.0%
2017,12/26/2017,01/11/2018,01/11/2018,02/09/2018,03/27/2018,05/04/2018,05/11/2018,05/11/2018,07/20/2018,121,85,121,849,100.0%
2016,12/14/2016,02/02/2017,02/05/2017,04/13/2017,05/24/2017,05/27/2017,06/01/2017,06/01/2017,08/14/2017,117,45,120,11284,100.0%
2015,12/24/2015,01/15/2016,01/20/2016,01/27/2016,03/14/2016,04/13/2016,04/18/2016,04/20/2016,05/27/2016,90,78,97,982,100.0%
2014,12/08/2014,12/15/2014,12/22/2014,02/11/2015,02/13/2015,02/13/2015,02/17/2015,04/10/2015,05/29/2015,59,3,118,601,100.0%
2013,02/10/2014,02/12/2014,02/13/2014,02/14/2014,02/22/2014,03/03/2014,03/07/2014,03/26/2014,06/20/2014,23,18,43,23121,100.0%
2012,12/03/2012,01/28/2013,01/28/2013,01/30/2013,04/19/2013,05/03/2013,05/07/2013,05/14/2013,08/09/2013,100,94,107,1987,100.0%
2011,01/05/2012,01/25/2012,01/25/2012,01/27/2012,03/30/2012,04/25/2012,05/11/2012,05/11/2012,08/20/2012,108,90,108,2089,100.0%
2010,12/08/2010,12/20/2010,12/20/2010,03/18/2011,04/25/2011,05/05/2011,05/19/2011,06/07/2011,07/25/2011,152,49,171,1734,100.0%
2009,01/27/2010,01/27/2010,01/29/2010,02/08/2010,04/19/2010,04/23/2010,04/30/2010,05/06/2010,07/12/2010,92,75,100,714,100.0%
2008,01/28/2009,02/23/2009,02/25/2009,03/04/2009,05/01/2009,05/02/2009,05/05/2009,05/07/2009,08/07/2009,70,60,74,1784,100.0%
2007,01/07/2008,01/09/2008,01/14/2008,01/28/2008,02/27/2008,05/02/2008,05/08/2008,05/08/2008,08/27/2008,116,96,121,1671,100.0%
2006,12/29/2006,02/12/2007,02/14/2007,02/14/2007,03/05/2007,04/30/2007,05/01/2007,05/14/2007,08/04/2007,77,76,92,4231,100.0%
2005,12/05/2005,01/20/2006,02/03/2006,03/20/2006,05/05/2006,05/12/2006,05/24/2006,05/31/2006,08/15/2006,111,54,132,4109,100.0%
2004,12/10/2004,01/14/2005,02/23/2005,03/25/2005,04/22/2005,05/06/2005,05/12/2005,05/24/2005,08/15/2005,79,43,131,5420,100.0%
2003,12/10/2003,01/05/2004,01/12/2004,02/09/2004,03/22/2004,04/30/2004,05/04/2004,05/06/2004,09/10/2004,114,82,123,9268,100.0%
2002,12/16/2002,01/06/2003,01/13/2003,02/19/2003,04/14/2003,04/25/2003,04/30/2003,05/15/2003,08/27/2003,108,66,130,5156,100.0%
2001,12/05/2001,01/10/2002,02/23/2002,02/23/2002,04/24/2002,04/26/2002,05/09/2002,05/21/2002,07/24/2002,76,63,132,5253,100.0%
2000,01/15/2001,02/12/2001,02/16/2001,02/23/2001,02/28/2001,04/27/2001,05/04/2001,05/10/2001,09/10/2001,78,64,88,7770,100.0%
1999,01/06/2000,01/24/2000,01/25/2000,02/02/2000,03/03/2000,04/19/2000,05/03/2000,05/12/2000,07/26/2000,100,78,110,5668,100.0%
1998,12/14/1998,01/21/1999,01/25/1999,02/12/1999,04/15/1999,05/01/1999,05/07/1999,05/21/1999,08/25/1999,103,79,121,11829,100.0%
1997,12/09/1997,01/16/1998,01/20/1998,01/26/1998,02/27/1998,04/27/1998,05/26/1998,06/03/1998,06/29/1998,127,92,139,8876,100.0%
