Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/16) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (1997 - 2021),02/16,02/16,02/16,02/21,03/14,04/21,05/24,05/24,06/05,97.6,59.3,98.1,17.9,98.1%
Median (1997 - 2021),02/07,02/09,02/09,02/14,03/15,04/16,05/23,05/23,05/26,94.0,38.5,96.0,4.0,100.0%
2021,01/29/2021,01/29/2021,01/29/2021,01/29/2021,01/29/2021,02/07/2021,02/07/2021,02/07/2021,02/07/2021,10,10,10,2,100.0%
2020,01/13/2020,01/13/2020,01/13/2020,01/21/2020,01/31/2020,05/22/2020,05/22/2020,05/22/2020,05/22/2020,131,123,131,10,100.0%
2019,02/17/2019,02/17/2019,02/17/2019,03/01/2019,03/15/2019,04/04/2019,05/28/2019,05/28/2019,05/28/2019,101,35,101,6,100.0%
2018,02/27/2018,02/27/2018,02/27/2018,02/27/2018,03/17/2018,04/09/2018,05/14/2018,05/14/2018,05/14/2018,77,42,77,4,100.0%
2017,02/23/2017,02/23/2017,02/23/2017,02/23/2017,03/03/2017,03/14/2017,05/25/2017,06/02/2017,06/02/2017,92,20,100,12,100.0%
2016,,,,,,,,,,,,,,0.0%
2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,1,1,1,1,100.0%
2014,02/11/2014,02/11/2014,02/11/2014,02/14/2014,02/15/2014,03/10/2014,04/07/2014,04/07/2014,04/07/2014,56,25,56,9,100.0%
2013,04/12/2013,04/12/2013,04/12/2013,04/12/2013,04/30/2013,05/31/2013,05/31/2013,05/31/2013,05/31/2013,50,50,50,3,100.0%
2012,01/27/2012,01/27/2012,01/27/2012,02/06/2012,02/08/2012,02/24/2012,05/01/2012,05/01/2012,05/01/2012,96,19,96,8,100.0%
2011,05/10/2011,05/10/2011,05/10/2011,05/10/2011,05/10/2011,06/21/2011,06/21/2011,06/21/2011,06/21/2011,43,43,43,2,100.0%
2010,02/08/2010,02/08/2010,02/08/2010,02/08/2010,02/24/2010,04/12/2010,06/10/2010,06/10/2010,06/10/2010,123,64,123,7,100.0%
2009,05/02/2009,05/02/2009,05/02/2009,05/02/2009,05/02/2009,05/07/2009,05/07/2009,05/07/2009,05/07/2009,6,6,6,2,100.0%
2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,01/11/2008,1,1,1,1,100.0%
2007,02/12/2007,02/12/2007,02/12/2007,02/12/2007,04/17/2007,06/12/2007,06/12/2007,06/12/2007,06/12/2007,121,121,121,3,100.0%
2006,02/15/2006,02/15/2006,02/15/2006,02/15/2006,02/24/2006,06/14/2006,06/14/2006,06/14/2006,06/14/2006,120,120,120,3,100.0%
2005,01/12/2005,01/12/2005,01/12/2005,01/12/2005,04/27/2005,05/12/2005,05/24/2005,05/24/2005,05/24/2005,133,121,133,4,100.0%
2004,02/02/2004,02/02/2004,02/02/2004,02/02/2004,03/15/2004,12/06/2004,12/06/2004,12/06/2004,12/06/2004,309,309,309,3,66.7%
2003,03/26/2003,03/26/2003,03/26/2003,03/26/2003,04/14/2003,04/28/2003,04/28/2003,04/28/2003,04/28/2003,34,34,34,3,100.0%
2002,01/15/2002,01/15/2002,01/15/2002,01/15/2002,01/15/2002,01/29/2002,01/29/2002,01/29/2002,01/29/2002,15,15,15,2,100.0%
2001,01/13/2001,01/13/2001,01/13/2001,01/26/2001,03/30/2001,05/08/2001,09/19/2001,09/19/2001,09/19/2001,250,103,250,8,100.0%
2000,01/17/2000,01/17/2000,01/17/2000,01/21/2000,03/15/2000,03/27/2000,04/21/2000,04/21/2000,04/21/2000,96,67,96,6,100.0%
1999,01/19/1999,01/19/1999,01/19/1999,02/26/1999,03/23/1999,04/23/1999,12/13/1999,12/13/1999,12/13/1999,329,57,329,8,87.5%
1998,01/28/1998,01/30/1998,01/30/1998,03/02/1998,03/11/1998,03/18/1998,05/29/1998,05/29/1998,06/08/1998,120,17,120,23,100.0%
1997,02/07/1997,02/18/1997,02/20/1997,02/21/1997,03/03/1997,03/13/1997,03/20/1997,03/21/1997,12/15/1997,29,21,32,299,99.7%
