Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/16) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (1997 - 2021),12/05,12/14,12/21,01/01,01/25,02/16,03/08,03/13,03/28,78.5,47.7,91.4,60.2,7.1%
Median (1997 - 2021),11/24,12/10,12/15,12/16,02/11,02/23,03/18,03/19,04/05,72.0,38.0,81.0,68.0,7.1%
2021,10/27/2021,10/27/2021,10/27/2021,10/27/2021,10/29/2021,11/10/2021,12/26/2021,12/27/2021,02/23/2022,61,15,62,21,85.7%
2020,02/08/2021,02/08/2021,02/08/2021,02/26/2021,03/14/2021,04/29/2021,04/29/2021,04/29/2021,04/29/2021,81,63,81,5,0.0%
2019,12/12/2019,12/12/2019,12/12/2019,12/12/2019,12/13/2019,01/30/2020,01/31/2020,02/06/2020,03/17/2020,52,51,58,74,0.0%
2018,12/03/2018,12/05/2018,12/20/2018,01/09/2019,02/21/2019,04/01/2019,04/11/2019,04/14/2019,04/17/2019,114,83,132,103,0.0%
2017,01/13/2018,01/13/2018,01/15/2018,02/11/2018,03/15/2018,03/20/2018,03/24/2018,03/25/2018,03/25/2018,69,38,72,16,0.0%
2016,03/03/2017,03/14/2017,03/17/2017,03/22/2017,03/30/2017,04/04/2017,04/08/2017,04/10/2017,04/21/2017,23,14,28,105,0.0%
2015,11/06/2015,11/06/2015,12/24/2015,12/24/2015,03/16/2016,03/25/2016,04/01/2016,04/22/2016,04/22/2016,101,94,170,13,7.7%
2014,11/05/2014,11/05/2014,11/28/2014,12/08/2014,12/08/2014,12/22/2014,03/20/2015,04/06/2015,04/17/2015,114,15,154,20,5.0%
2013,02/09/2014,02/12/2014,02/12/2014,02/13/2014,02/15/2014,03/05/2014,03/10/2014,03/14/2014,04/04/2014,27,21,31,71,0.0%
2012,11/23/2012,11/23/2012,11/23/2012,11/26/2012,11/26/2012,12/03/2012,12/03/2012,12/03/2012,12/07/2012,11,8,11,74,0.0%
2011,01/25/2012,01/27/2012,02/01/2012,03/16/2012,03/19/2012,03/30/2012,03/30/2012,03/30/2012,04/13/2012,59,15,64,29,0.0%
2010,10/29/2010,10/29/2010,10/29/2010,12/13/2010,02/22/2011,03/18/2011,04/13/2011,04/13/2011,04/15/2011,168,97,168,20,10.0%
2009,10/23/2009,10/23/2009,10/23/2009,11/06/2009,02/05/2010,02/17/2010,02/26/2010,02/26/2010,02/26/2010,128,105,128,13,38.5%
2008,12/22/2008,12/22/2008,01/28/2009,02/17/2009,02/18/2009,02/18/2009,02/27/2009,02/27/2009,02/27/2009,31,2,68,16,0.0%
2007,01/07/2008,01/07/2008,01/07/2008,01/09/2008,01/28/2008,02/06/2008,02/27/2008,02/27/2008,03/03/2008,52,29,52,32,0.0%
2006,11/20/2006,12/11/2006,12/15/2006,12/18/2006,02/12/2007,02/12/2007,02/16/2007,02/28/2007,02/28/2007,65,58,81,95,0.0%
2005,11/02/2005,11/14/2005,11/14/2005,12/05/2005,12/23/2005,03/08/2006,03/20/2006,03/29/2006,04/24/2006,128,95,137,133,18.8%
2004,11/01/2004,11/10/2004,12/10/2004,12/13/2004,01/03/2005,02/22/2005,02/25/2005,03/04/2005,04/04/2005,78,72,115,92,6.5%
2003,12/06/2003,12/10/2003,12/10/2003,12/10/2003,12/10/2003,01/05/2004,02/18/2004,03/12/2004,03/22/2004,72,28,95,113,0.0%
2002,11/08/2002,12/16/2002,12/16/2002,12/16/2002,01/15/2003,03/03/2003,03/19/2003,03/26/2003,04/28/2003,95,79,102,86,1.2%
2001,09/10/2001,11/19/2001,11/23/2001,11/26/2001,11/30/2001,12/21/2001,02/23/2002,02/23/2002,04/05/2002,94,26,98,89,2.2%
2000,01/15/2001,01/26/2001,01/31/2001,02/16/2001,02/23/2001,02/23/2001,03/12/2001,03/19/2001,04/13/2001,41,8,53,68,0.0%
1999,01/18/2000,01/18/2000,01/20/2000,01/31/2000,02/11/2000,03/22/2000,03/22/2000,03/27/2000,03/29/2000,63,52,70,53,0.0%
1998,10/19/1998,11/23/1998,11/23/1998,11/24/1998,11/27/1998,12/07/1998,03/18/1999,03/19/1999,04/15/1999,117,14,118,102,2.9%
1997,11/24/1997,11/25/1997,11/29/1997,12/01/1997,03/12/1998,03/19/1998,03/25/1998,04/08/1998,04/17/1998,118,110,136,62,0.0%
