Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/06) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (2007 - 2021),11/03,11/05,11/22,12/04,12/23,01/07,01/14,01/26,01/28,55.1,36.1,83.6,15.3,8.1%
Median (2007 - 2021),11/08,11/08,12/01,12/07,12/17,01/02,01/11,01/25,01/31,45.0,29.0,84.5,13.5,18.3%
2021,11/01/2021,11/01/2021,11/05/2021,11/15/2021,12/07/2021,12/26/2021,12/29/2021,01/19/2022,01/19/2022,55,42,81,12,16.7%
2020,11/09/2020,11/09/2020,11/09/2020,11/09/2020,01/28/2021,02/04/2021,02/04/2021,02/04/2021,02/04/2021,88,88,88,3,0.0%
2019,11/20/2019,12/13/2019,12/15/2019,12/16/2019,12/17/2019,12/20/2019,12/22/2019,01/19/2020,01/31/2020,8,5,39,39,0.0%
2018,11/28/2018,12/04/2018,12/04/2018,12/10/2018,12/14/2018,01/14/2019,01/25/2019,01/25/2019,02/01/2019,54,37,54,23,0.0%
2017,01/20/2018,01/20/2018,01/20/2018,01/20/2018,01/20/2018,02/02/2018,02/02/2018,02/02/2018,02/02/2018,14,14,14,2,0.0%
2016,11/18/2016,11/18/2016,12/16/2016,12/16/2016,12/19/2016,12/28/2016,12/30/2016,01/06/2017,01/06/2017,15,13,50,18,0.0%
2015,12/11/2015,12/11/2015,12/18/2015,12/21/2015,12/30/2015,01/08/2016,01/20/2016,01/22/2016,01/22/2016,35,20,44,15,0.0%
2014,11/07/2014,11/07/2014,12/08/2014,12/10/2014,12/17/2014,12/24/2014,01/05/2015,02/17/2015,02/18/2015,30,15,104,22,0.0%
2013,10/25/2013,10/25/2013,10/25/2013,12/02/2013,12/04/2013,02/12/2014,02/14/2014,02/14/2014,02/14/2014,114,74,114,5,20.0%
2012,08/27/2012,08/27/2012,11/28/2012,12/07/2012,12/14/2012,12/17/2012,12/28/2012,01/04/2013,01/04/2013,31,11,131,14,7.1%
2011,,,,,,,,,,,,,,0.0%
2010,09/10/2010,09/10/2010,11/01/2010,11/08/2010,12/17/2010,12/22/2010,01/03/2011,01/26/2011,01/26/2011,65,45,140,13,23.1%
2009,09/11/2009,09/11/2009,09/16/2009,11/04/2009,12/28/2009,01/25/2010,02/01/2010,02/01/2010,02/01/2010,140,84,145,11,36.4%
2008,10/21/2008,10/21/2008,10/21/2008,12/03/2008,01/05/2009,01/07/2009,01/14/2009,02/02/2009,02/02/2009,86,36,105,10,10.0%
2007,11/15/2007,11/21/2007,12/06/2007,12/07/2007,12/17/2007,12/28/2007,01/09/2008,01/20/2008,01/27/2008,36,22,62,27,0.0%
