Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/06) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (2007 - 2021),03/16,04/06,04/10,04/15,04/20,04/27,05/05,05/09,06/01,26.3,13.3,33.6,1140.6,0.0%
Median (2007 - 2021),03/24,04/08,04/12,04/15,04/21,04/28,05/06,05/09,05/24,26.0,13.0,32.0,761.0,0.0%
2021,03/29/2022,04/08/2022,04/15/2022,04/22/2022,04/25/2022,05/06/2022,05/06/2022,05/09/2022,05/18/2022,22,15,32,684,0.0%
2020,03/30/2021,04/09/2021,04/18/2021,04/19/2021,04/22/2021,04/27/2021,05/04/2021,05/10/2021,05/18/2021,17,9,32,1203,0.0%
2019,03/23/2020,04/06/2020,04/06/2020,04/09/2020,04/16/2020,04/24/2020,05/01/2020,05/08/2020,05/15/2020,26,16,33,1913,0.0%
2018,03/04/2019,04/05/2019,04/08/2019,04/11/2019,04/21/2019,04/26/2019,05/09/2019,05/10/2019,05/24/2019,32,16,36,1804,0.0%
2017,03/27/2018,04/10/2018,04/12/2018,04/15/2018,04/19/2018,04/23/2018,04/27/2018,04/29/2018,05/27/2018,16,9,20,1218,0.0%
2016,02/22/2017,04/03/2017,04/05/2017,04/11/2017,04/18/2017,05/03/2017,05/08/2017,05/15/2017,07/14/2017,34,23,43,3882,0.0%
2015,03/16/2016,04/04/2016,04/06/2016,04/08/2016,04/15/2016,04/20/2016,04/29/2016,05/02/2016,05/31/2016,24,13,29,681,0.0%
2014,02/17/2015,03/30/2015,04/01/2015,04/06/2015,04/10/2015,04/20/2015,04/24/2015,04/27/2015,05/11/2015,24,15,29,1108,0.0%
2013,03/07/2014,03/28/2014,03/31/2014,04/04/2014,04/09/2014,04/21/2014,05/05/2014,05/08/2014,05/22/2014,36,18,42,1311,0.0%
2012,03/29/2013,04/08/2013,04/12/2013,04/22/2013,04/26/2013,05/03/2013,05/15/2013,05/17/2013,05/31/2013,34,12,40,601,0.0%
2011,03/23/2012,04/06/2012,04/13/2012,04/23/2012,04/27/2012,04/30/2012,05/11/2012,05/14/2012,05/18/2012,29,8,39,761,0.0%
2010,02/18/2011,04/13/2011,04/18/2011,04/20/2011,04/22/2011,04/29/2011,05/06/2011,05/11/2011,06/06/2011,19,10,29,593,0.0%
2009,03/29/2010,04/09/2010,04/16/2010,04/19/2010,04/21/2010,04/28/2010,05/14/2010,05/14/2010,08/16/2010,29,10,36,758,0.0%
2008,03/25/2009,04/08/2009,04/09/2009,04/15/2009,04/22/2009,04/29/2009,05/09/2009,05/09/2009,05/18/2009,31,15,32,429,0.0%
2007,04/03/2008,04/07/2008,04/14/2008,04/21/2008,04/24/2008,05/01/2008,05/05/2008,05/08/2008,05/30/2008,22,11,32,163,0.0%
