Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/06) %
2022 YTD,01/10/2022,,,,,,,,08/03/2022,,,,26 (YTD),
Average (2007 - 2021),02/16,02/16,02/21,03/05,03/25,04/15,06/03,06/14,06/14,102.9,41.8,118.5,9.4,98.1%
Median (2007 - 2021),02/14,02/14,02/18,03/03,03/28,04/18,05/13,05/16,05/16,92.0,36.0,103.0,8.0,100.0%
2021,02/16/2021,02/16/2021,02/16/2021,02/19/2021,04/07/2021,05/02/2021,11/17/2021,11/17/2021,11/17/2021,275,73,275,8,87.5%
2020,02/03/2020,02/03/2020,02/03/2020,02/27/2020,04/12/2020,05/08/2020,05/22/2020,05/22/2020,05/22/2020,110,72,110,9,100.0%
2019,01/20/2019,01/20/2019,01/29/2019,03/24/2019,04/08/2019,04/15/2019,05/10/2019,05/14/2019,05/14/2019,102,23,115,13,100.0%
2018,01/17/2018,01/17/2018,03/03/2018,03/03/2018,03/06/2018,04/07/2018,05/02/2018,05/14/2018,05/14/2018,61,36,118,12,100.0%
2017,02/14/2017,02/14/2017,02/25/2017,02/27/2017,03/12/2017,04/12/2017,05/12/2017,05/27/2017,05/27/2017,77,45,103,15,100.0%
2016,02/18/2016,02/18/2016,02/18/2016,02/29/2016,03/16/2016,03/30/2016,12/30/2016,12/30/2016,12/30/2016,317,31,317,6,83.3%
2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,02/18/2015,1,1,1,3,100.0%
2014,03/07/2014,03/07/2014,03/07/2014,03/17/2014,03/21/2014,04/18/2014,05/19/2014,05/22/2014,05/22/2014,74,33,77,14,100.0%
2013,02/06/2013,02/06/2013,02/06/2013,03/06/2013,04/15/2013,05/03/2013,05/10/2013,05/10/2013,05/10/2013,94,59,94,7,100.0%
2012,03/27/2012,03/27/2012,03/27/2012,03/27/2012,03/27/2012,04/06/2012,04/13/2012,04/13/2012,04/13/2012,18,11,18,6,100.0%
2011,01/19/2011,01/19/2011,01/19/2011,01/19/2011,02/16/2011,02/28/2011,05/13/2011,05/13/2011,05/13/2011,115,41,115,8,100.0%
2010,03/31/2010,03/31/2010,03/31/2010,03/31/2010,04/16/2010,05/05/2010,05/12/2010,05/12/2010,05/12/2010,43,36,43,5,100.0%
2009,02/04/2009,02/04/2009,02/13/2009,03/02/2009,04/17/2009,05/09/2009,05/27/2009,09/28/2009,09/28/2009,104,69,237,18,100.0%
2008,03/17/2008,03/17/2008,03/17/2008,03/24/2008,04/14/2008,04/21/2008,05/15/2008,05/15/2008,05/15/2008,60,29,60,7,100.0%
2007,02/13/2007,02/13/2007,02/13/2007,03/08/2007,03/08/2007,05/14/2007,05/15/2007,05/18/2007,05/18/2007,92,68,95,10,100.0%
