Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/06) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (2007 - 2021),01/15,02/02,02/15,03/05,03/24,04/03,04/14,04/16,04/24,58.8,30.1,73.9,81.4,1.0%
Median (2007 - 2021),01/22,02/17,02/26,03/11,03/25,04/05,04/12,04/17,04/25,50.0,26.0,64.0,65.0,14.3%
2021,11/01/2021,11/01/2021,11/01/2021,12/28/2021,03/17/2022,04/01/2022,04/05/2022,04/05/2022,04/05/2022,157,96,157,7,14.3%
2020,02/08/2021,02/24/2021,02/26/2021,03/09/2021,03/24/2021,03/29/2021,04/25/2021,04/25/2021,04/25/2021,59,21,61,38,0.0%
2019,12/20/2019,02/23/2020,02/24/2020,03/10/2020,03/27/2020,04/09/2020,04/10/2020,04/10/2020,04/13/2020,47,31,48,167,0.0%
2018,01/31/2019,02/17/2019,03/10/2019,03/28/2019,04/02/2019,04/09/2019,04/19/2019,04/21/2019,05/20/2019,41,13,64,98,0.0%
2017,01/20/2018,02/05/2018,02/06/2018,03/15/2018,03/25/2018,04/14/2018,04/15/2018,04/17/2018,04/21/2018,69,31,72,89,0.0%
2016,03/03/2017,03/16/2017,03/19/2017,03/28/2017,04/04/2017,04/09/2017,04/21/2017,04/27/2017,05/05/2017,34,13,43,304,0.0%
2015,01/22/2016,01/29/2016,03/25/2016,03/30/2016,04/04/2016,04/06/2016,04/08/2016,04/08/2016,04/27/2016,15,8,71,53,0.0%
2014,12/10/2014,12/10/2014,12/24/2014,02/11/2015,03/04/2015,03/27/2015,04/10/2015,04/15/2015,04/17/2015,109,45,128,35,0.0%
2013,02/14/2014,02/21/2014,02/28/2014,03/05/2014,03/10/2014,03/14/2014,04/04/2014,04/09/2014,04/11/2014,36,10,48,72,0.0%
2012,12/21/2012,01/02/2013,03/11/2013,03/20/2013,03/27/2013,04/05/2013,04/12/2013,04/12/2013,04/15/2013,33,17,101,65,0.0%
2011,01/24/2012,03/06/2012,03/09/2012,03/23/2012,04/10/2012,04/13/2012,04/27/2012,04/27/2012,04/27/2012,50,22,53,45,0.0%
2010,01/05/2011,02/28/2011,02/28/2011,03/16/2011,04/04/2011,04/15/2011,04/18/2011,04/20/2011,04/22/2011,50,31,52,64,0.0%
2009,01/25/2010,02/10/2010,02/18/2010,03/05/2010,03/15/2010,03/31/2010,04/19/2010,04/21/2010,04/28/2010,61,27,71,69,0.0%
2008,02/20/2009,02/23/2009,02/25/2009,03/02/2009,03/16/2009,03/27/2009,04/10/2009,04/17/2009,05/09/2009,45,26,54,73,0.0%
2007,01/09/2008,01/17/2008,01/19/2008,01/27/2008,03/17/2008,03/27/2008,04/03/2008,04/10/2008,04/28/2008,76,61,85,42,0.0%
