Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/06) %
2021 YTD,12/26/2021,,,,,,,,05/18/2022,,,,102 (YTD),
Average (2007 - 2020),01/01,01/20,01/23,02/13,03/21,04/16,04/27,05/07,07/13,95.4,63.0,107.4,3708.6,100.0%
Median (2007 - 2020),12/25,01/26,01/26,02/06,03/21,04/24,05/06,05/09,07/22,99.5,75.5,107.5,1702.5,100.0%
2020,01/31/2021,01/31/2021,01/31/2021,02/01/2021,02/07/2021,04/18/2021,04/22/2021,05/10/2021,05/28/2021,82,77,100,294,100.0%
2019,12/12/2019,01/30/2020,01/30/2020,01/30/2020,01/30/2020,04/14/2020,05/07/2020,05/07/2020,06/05/2020,99,76,99,1492,100.0%
2018,12/20/2018,01/13/2019,01/20/2019,02/05/2019,02/26/2019,03/12/2019,05/06/2019,05/17/2019,08/05/2019,107,36,125,3319,100.0%
2017,12/26/2017,01/11/2018,01/11/2018,02/09/2018,03/27/2018,05/04/2018,05/11/2018,05/11/2018,07/20/2018,121,85,121,849,100.0%
2016,12/14/2016,02/02/2017,02/05/2017,04/13/2017,05/24/2017,05/27/2017,06/01/2017,06/01/2017,08/14/2017,117,45,120,11284,100.0%
2015,12/24/2015,01/15/2016,01/20/2016,01/27/2016,03/14/2016,04/13/2016,04/18/2016,04/20/2016,05/27/2016,90,78,97,982,100.0%
2014,12/08/2014,12/15/2014,12/22/2014,02/11/2015,02/13/2015,02/13/2015,02/17/2015,04/10/2015,05/29/2015,59,3,118,601,100.0%
2013,02/10/2014,02/12/2014,02/13/2014,02/14/2014,02/22/2014,03/03/2014,03/07/2014,03/26/2014,06/20/2014,23,18,43,23121,100.0%
2012,12/03/2012,01/28/2013,01/28/2013,01/30/2013,04/19/2013,05/03/2013,05/07/2013,05/14/2013,08/09/2013,100,94,107,1987,100.0%
2011,01/05/2012,01/25/2012,01/25/2012,01/27/2012,03/30/2012,04/25/2012,05/11/2012,05/11/2012,08/20/2012,108,90,108,2089,100.0%
2010,12/08/2010,12/20/2010,12/20/2010,03/18/2011,04/25/2011,05/05/2011,05/19/2011,06/07/2011,07/25/2011,152,49,171,1734,100.0%
2009,01/27/2010,01/27/2010,01/29/2010,02/08/2010,04/19/2010,04/23/2010,04/30/2010,05/06/2010,07/12/2010,92,75,100,714,100.0%
2008,01/28/2009,02/23/2009,02/25/2009,03/04/2009,05/01/2009,05/02/2009,05/05/2009,05/07/2009,08/07/2009,70,60,74,1784,100.0%
2007,01/07/2008,01/09/2008,01/14/2008,01/28/2008,02/27/2008,05/02/2008,05/08/2008,05/08/2008,08/27/2008,116,96,121,1671,100.0%
