Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/06) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (2007 - 2021),09/19,09/19,10/07,11/05,11/13,12/08,12/21,01/03,01/03,75.4,33.4,108.3,5.5,29.1%
Median (2007 - 2021),11/02,11/02,11/02,11/28,11/29,12/13,12/24,12/28,12/28,52.5,7.0,63.5,5.0,61.1%
2021,10/27/2021,10/27/2021,10/27/2021,10/27/2021,10/29/2021,12/16/2021,12/16/2021,12/16/2021,12/16/2021,51,51,51,9,55.6%
2020,,,,,,,,,,,,,,0.0%
2019,04/15/2019,04/15/2019,04/15/2019,12/10/2019,12/12/2019,12/12/2019,12/26/2019,12/26/2019,12/26/2019,256,3,256,6,16.7%
2018,12/02/2018,12/02/2018,12/02/2018,12/02/2018,12/02/2018,12/03/2018,01/09/2019,01/09/2019,01/09/2019,40,2,40,7,0.0%
2017,01/12/2018,01/12/2018,01/12/2018,01/12/2018,01/12/2018,01/12/2018,01/12/2018,01/12/2018,01/12/2018,1,1,1,1,0.0%
2016,12/12/2016,12/12/2016,12/12/2016,12/12/2016,12/14/2016,12/14/2016,02/23/2017,02/23/2017,02/23/2017,74,3,74,5,0.0%
2015,12/23/2015,12/23/2015,12/23/2015,12/23/2015,12/23/2015,03/21/2016,03/21/2016,03/21/2016,03/21/2016,91,91,91,2,0.0%
2014,12/05/2014,12/05/2014,12/05/2014,12/08/2014,12/08/2014,12/08/2014,12/16/2014,12/16/2014,12/16/2014,12,1,12,5,0.0%
2013,,,,,,,,,,,,,,0.0%
2012,04/02/2012,04/02/2012,08/10/2012,11/23/2012,11/26/2012,12/03/2012,12/21/2012,12/21/2012,12/21/2012,134,11,264,11,18.2%
2011,,,,,,,,,,,,,,0.0%
2010,09/08/2010,09/08/2010,09/08/2010,09/08/2010,09/08/2010,10/29/2010,10/29/2010,10/29/2010,10/29/2010,52,52,52,2,100.0%
2009,08/07/2009,08/07/2009,08/07/2009,08/07/2009,11/02/2009,12/16/2009,12/16/2009,12/16/2009,12/16/2009,132,132,132,3,66.7%
2008,11/07/2008,11/07/2008,11/07/2008,11/07/2008,11/07/2008,12/29/2008,12/29/2008,12/29/2008,12/29/2008,53,53,53,2,0.0%
2007,04/17/2007,04/17/2007,07/23/2007,07/23/2007,07/23/2007,07/23/2007,07/31/2007,01/14/2008,01/14/2008,9,1,274,13,92.3%
