Brood Year,FirstPassageDate,5%PassageDate,10%PassageDate,25%PassageDate,50%PassageDate,75%PassageDate,90%PassageDate,95%PassageDate,LastPassageDate,DurationMiddle80%Days,DurationMiddle50%Days,DurationMiddle90%Days,Run Size,'Today'(11/06) %
2022 YTD,,,,,,,,,,,,, (YTD),
Average (2007 - 2021),12/17,12/18,12/27,01/09,02/03,02/20,03/07,03/11,03/22,72.7,43.3,85.3,40.8,8.8%
Median (2007 - 2021),12/12,12/12,12/24,01/09,02/18,03/05,03/20,03/25,04/04,61.0,29.0,68.0,21.0,10.0%
2021,10/27/2021,10/27/2021,10/27/2021,10/27/2021,10/29/2021,11/10/2021,12/26/2021,12/27/2021,02/23/2022,61,15,62,21,71.4%
2020,02/08/2021,02/08/2021,02/08/2021,02/26/2021,03/14/2021,04/29/2021,04/29/2021,04/29/2021,04/29/2021,81,63,81,5,0.0%
2019,12/12/2019,12/12/2019,12/12/2019,12/12/2019,12/13/2019,01/30/2020,01/31/2020,02/06/2020,03/17/2020,52,51,58,74,0.0%
2018,12/03/2018,12/05/2018,12/20/2018,01/09/2019,02/21/2019,04/01/2019,04/11/2019,04/14/2019,04/17/2019,114,83,132,103,0.0%
2017,01/13/2018,01/13/2018,01/15/2018,02/11/2018,03/15/2018,03/20/2018,03/24/2018,03/25/2018,03/25/2018,69,38,72,16,0.0%
2016,03/03/2017,03/14/2017,03/17/2017,03/22/2017,03/30/2017,04/04/2017,04/08/2017,04/10/2017,04/21/2017,23,14,28,105,0.0%
2015,11/06/2015,11/06/2015,12/24/2015,12/24/2015,03/16/2016,03/25/2016,04/01/2016,04/22/2016,04/22/2016,101,94,170,13,7.7%
2014,11/05/2014,11/05/2014,11/28/2014,12/08/2014,12/08/2014,12/22/2014,03/20/2015,04/06/2015,04/17/2015,114,15,154,20,5.0%
2013,02/09/2014,02/12/2014,02/12/2014,02/13/2014,02/15/2014,03/05/2014,03/10/2014,03/14/2014,04/04/2014,27,21,31,71,0.0%
2012,11/23/2012,11/23/2012,11/23/2012,11/26/2012,11/26/2012,12/03/2012,12/03/2012,12/03/2012,12/07/2012,11,8,11,74,0.0%
2011,01/25/2012,01/27/2012,02/01/2012,03/16/2012,03/19/2012,03/30/2012,03/30/2012,03/30/2012,04/13/2012,59,15,64,29,0.0%
2010,10/29/2010,10/29/2010,10/29/2010,12/13/2010,02/22/2011,03/18/2011,04/13/2011,04/13/2011,04/15/2011,168,97,168,20,10.0%
2009,10/23/2009,10/23/2009,10/23/2009,11/06/2009,02/05/2010,02/17/2010,02/26/2010,02/26/2010,02/26/2010,128,105,128,13,38.5%
2008,12/22/2008,12/22/2008,01/28/2009,02/17/2009,02/18/2009,02/18/2009,02/27/2009,02/27/2009,02/27/2009,31,2,68,16,0.0%
2007,01/07/2008,01/07/2008,01/07/2008,01/09/2008,01/28/2008,02/06/2008,02/27/2008,02/27/2008,03/03/2008,52,29,52,32,0.0%
