Year,Index,Yr_type,Drought,DroughtYear
1970,10.4,Wet,W,0
1971,10.37,Wet,W,0
1972,7.29,Below Normal,N,1
1973,8.58,Above Normal,N,0
1974,12.99,Wet,W,0
1975,9.35,Wet,W,0
1976,5.29,Critical,D,1
1977,3.11,Critical,D,2
1978,8.65,Above Normal,N,0
1979,6.67,Below Normal,N,1
1980,9.04,Above Normal,N,0
1981,6.21,Dry,N,1
1982,12.76,Wet,W,0
1983,15.29,Wet,W,0
1984,10,Wet,W,0
1985,6.47,Dry,N,1
1986,9.96,Wet,N,0
1987,5.86,Dry,D,1
1988,4.65,Critical,D,2
1989,6.13,Dry,D,3+
1990,4.81,Critical,D,3+
1991,4.21,Critical,D,3+
1992,4.06,Critical,D,3+
1993,8.54,Above Normal,N,0
1994,5.02,Critical,N,1
1995,12.89,Wet,W,0
1996,10.26,Wet,W,0
1997,10.82,Wet,W,0
1998,13.31,Wet,W,0
1999,9.8,Wet,W,0
2000,8.94,Above Normal,W,0
2001,5.76,Dry,D,1
2002,6.35,Dry,D,2
2003,8.21,Above Normal,N,0
2004,7.51,Below Normal,N,1
2005,8.49,Above Normal,W,0
2006,13.2,Wet,W,0
2007,6.19,Dry,D,1
2008,5.16,Critical,D,2
2009,5.78,Dry,D,3+
2010,7.08,Below Normal,D,3+
2011,10.54,Wet,N,0
2012,6.89,Below Normal,D,1
2013,5.83,Dry,D,2
2014,4.07,Critical,D,3+
2015,4,Critical,D,3+
2016,6.71,Below Normal,D,3+
2017,14.14,Wet,N,0
2018,7.14,Below Normal,N,1
2019,10.34,Wet,N,0
2020,6.13,Dry,D,1
2021,3.86,Critical,D,2
2022,4.5,Critical,D,3+
1906,11.76,Wet,W,
1907,14.07,Wet,W,
1908,7.73,Below Normal,N,
1909,12.1,Wet,W,
1910,9.38,Wet,W,
1911,11.74,Wet,W,
1912,6.71,Below Normal,D,
1913,6.24,Dry,D,
1914,10.92,Wet,W,
1915,10.99,Wet,W,
1916,10.83,Wet,W,
1917,8.83,Above Normal,W,
1918,6.19,Dry,D,
1919,7,Below Normal,D,
1920,5.15,Critical,D,
1921,9.2,Above Normal,W,
1922,8.97,Above Normal,W,
1923,7.06,Below Normal,D,
1924,3.87,Critical,D,
1925,6.39,Dry,D,
1926,5.75,Dry,D,
1927,9.52,Wet,W,
1928,8.27,Above Normal,W,
1929,5.22,Critical,D,
1930,5.9,Dry,D,
1931,3.66,Critical,D,
1932,5.48,Dry,D,
1933,4.63,Critical,D,
1934,4.07,Critical,D,
1935,6.98,Below Normal,D,
1936,7.75,Below Normal,D,
1937,6.87,Below Normal,D,
1938,12.62,Wet,N,
1939,5.58,Dry,N,
1940,8.88,Above Normal,W,
1941,11.47,Wet,W,
1942,11.27,Wet,W,
1943,9.77,Wet,W,
1944,6.35,Dry,D,
1945,6.8,Below Normal,D,
1946,7.7,Below Normal,D,
1947,5.61,Dry,D,
1948,7.12,Below Normal,D,
1949,6.09,Dry,D,
1950,6.62,Below Normal,D,
1951,9.18,Above Normal,W,
1952,12.38,Wet,W,
1953,9.55,Wet,W,
1954,8.51,Above Normal,W,
1955,6.14,Dry,N,
1956,11.38,Wet,W,
1957,7.83,Above Normal,W,
1958,12.16,Wet,W,
1959,6.75,Below Normal,D,
1960,6.2,Dry,D,
1961,5.68,Dry,D,
1962,6.65,Below Normal,D,
1963,9.63,Wet,N,
1964,6.41,Dry,N,
1965,10.15,Wet,N,
1966,7.16,Below Normal,N,
1967,10.2,Wet,N,
1968,7.24,Below Normal,N,
1969,11.05,Wet,W,
